Prof_Course, The instructor clearly defined and explained the course objectives and expectations, The instructor was prepared for each instructional activity, The instructor communicated information effectively, The instructor encouraged me to take an active role in my own learning, The instructor was available to students either electronically or in person
Davis-James-ASTR-1345-009-INTRODUCTORY ASTRONOMY I,3.8182,4.1818,3.5455,3.6364,3.8182
Davis-James-ASTR-1345-010-INTRODUCTORY ASTRONOMY I,4,4.3333,4,3.7778,4.2222
Davis-James-ASTR-1345-011-INTRODUCTORY ASTRONOMY I,3.625,3.625,3.375,3.75,3.75
Davis-James-ASTR-1345-012-INTRODUCTORY ASTRONOMY I,4,4.4615,4.0833,3.9231,4.2308
Davis-James-ASTR-1345-014-INTRODUCTORY ASTRONOMY I,4.25,4.4667,4.1875,4.125,4.3125
Davis-James-ASTR-1345-015-INTRODUCTORY ASTRONOMY I,3.875,3.75,4.25,4.125,4
Davis-James-ASTR-1345-016-INTRODUCTORY ASTRONOMY I,3.8889,4.5556,3.7778,4.4444,4.5556
Davis-James-ASTR-1345-018-INTRODUCTORY ASTRONOMY I,4,4.1667,4.1667,3.9167,3.8333
Davis-James-ASTR-1345-020-INTRODUCTORY ASTRONOMY I,3.75,4.25,2.5,3.5,4
Davis-James-ASTR-1345-021-INTRODUCTORY ASTRONOMY I,4.5,4.5,4.5,4.75,4.75
Davis-James-ASTR-1345-022-INTRODUCTORY ASTRONOMY I,4.4,4.2,4.3333,4.2,4.4667
Davis-James-ASTR-1345-023-INTRODUCTORY ASTRONOMY I,4.7143,4.8571,4.7143,4.5714,4.5714
Davis-James-ASTR-1345-024-INTRODUCTORY ASTRONOMY I,3.6,3.8,3.5,3.8,3.6
Davis-James-ASTR-1346-002-INTRODUCTORY ASTRONOMY II,4.7778,4.8333,4.8333,4.5556,4.7647
Davis-James-ASTR-1346-004-INTRODUCTORY ASTRONOMY II,3.5,3.6667,3.3333,3.8333,3.3333
Davis-James-ASTR-1346-006-INTRODUCTORY ASTRONOMY II,3.1,4.1,2.9,3.4,3.7
Davis-James-ASTR-1346-007-INTRODUCTORY ASTRONOMY II,3.625,3.75,3.75,3.5,4
Davis-James-ASTR-1346-008-INTRODUCTORY ASTRONOMY II,4.125,4.375,4.375,4,4.25
Davis-James-ASTR-1346-010-INTRODUCTORY ASTRONOMY II,5,5,5,5,5
Davis-James-ASTR-1346-011-INTRODUCTORY ASTRONOMY II,4.4286,4.5714,3.8571,4,4.2857
Davis-Jaya-CRCJ-2335-003-CRIMINAL JUSTICE ETHICS,4.7742,4.7742,4.8065,4.6774,4.8387
Davis-Jaya-CRCJ-5352-001-WOMEN CRIME & CRIMINAL JUSTIC,4.5,4.5,4.5,4.5,4.5
Davis-Jaya-CRCJ-5366-001-JUV DEL & CORR,4.6667,4.7778,4.6667,4.7778,4.8889
Davis-Theresa-SOCW-2311-003-INTRO SOC WORK,3.75,3.75,3.5833,3.75,3.6667
Davis-Wendell-EE-5305-001/002-ADVANCED ELECTRONICS,3.4,3,3.8,3,4
Davoudi-Ali-EE-4328-005-CURRENT TOPICS ELECTRICAL ENGR & EE-5379-001-TOPICS IN POWER SYSTEM ENGNR,4.16,4.2,4.36,4.08,3.72
Dayoub-Adam-CHEM-1451-101-CHEMISTRY FOR HEALTH SCIENCES,4.75,4.8333,4.75,4.8333,4.8333
Dayoub-Adam-CHEM-1451-108-CHEMISTRY FOR HEALTH SCIENCES,4.7778,4.7778,4.6667,4.8889,4.7778
Deal-Jeremy-CE-2331-001-ENGR MEASUREMENT/COMP MODELING,4.6429,4.7143,4.7143,4.5714,4.4286
Deal-Jeremy-CE-2331-002-ENGR MEASUREMENT/COMP MODELING,4.6,4.6,4.6,4.4,4.4
Deal-Jeremy-CE-2331-003-ENGR MEASUREMENT/COMP MODELING,4.7,4.6,4.7,4.5,4.7
Deb-Paromita-CHEM-1442-105-GENERAL CHEMISTRY II,3.9444,4.3889,4,3.7778,4.0556
Deb-Paromita-CHEM-1442-110-GENERAL CHEMISTRY II,4.3333,4.5,3.75,4.0833,4.3333
Decker-Meredith-KINE-4132-001-ATHLETIC TRAINING CLIN PRAC VI,4.6364,4.5455,4.5455,4.6364,4.7273
Decker-Meredith-KINE-5150-001-Clinical Athletic Training IV,4.25,4.25,4.25,4.375,4.5
Decker-Meredith-KINE-5430-002-ORTHOPEDIC ASSESSMENT I,4.5714,4.7143,4.7143,4.8571,4.5714
Deen-Rebecca-POLS-4316-600-WOMEN IN THE POLITICAL PROCESS,4.6923,4.7692,4.5385,4.6923,4.6923
Deen-Rebecca-POLS-4333-001-PRES LEADERSHIP DOMEST POLICY,4.7857,4.8571,4.7857,4.5,4.7857
Delay-Deborah-SOCW-5306-005-GENERALIST MACRO PRACTICE,2,2.4,1.9,2.7,2.5
Deliz-Michael-HIST-1312-013-U.S. HISTORY SINCE 1865,3.5455,2.6364,3.2727,3.1818,3.6
Dellinger-Justin-HIST 1312.700 & HIST 1312.901 HISTORY OF THE UNITED STATES 1865 TO PRESENT,3.8923,3.875,3.8281,3.9231,4.0154
Demhardt-Imre-HIST-6301-001-EXPLORATION & CARTOGRAPHY,3.3333,4.3333,3,5,4.6667
Demuth-Jeffery-BIOL-2343-001-EVOLUTION & ECOLOGY,3.98,4.4,4.12,3.8571,4.2
Demuth-Jeffery-BIOL-5101-001-SPECIAL TOPICS IN BIOLOGY,4.4286,4.1429,4.4286,4.2857,4.2857
Deng-Yue-PHYS-3321-001-ELECTRICITY AND MAGNETISM,4.3636,4.2727,3.9091,4,4.2727
Dennis-Brian-AE-5327-001/002-COMPUTATIONAL AERODYNAMICS I and MAE-4301-004- SPEC TOPICS MECH & AERO ENGR,4.3636,4.4545,4.6364,4.1818,4.1818
Denson-Linda-EDUC-2101-001-EXPLORING TEACHING,4.4167,4.4583,4.4583,4.625,4.5833
Denson-Linda-EDUC-4352-001-TEACHING DIVERSE POPULATIONS,4.4545,4.5455,4.4091,4.5455,4.1818
Denson-Linda-EDUC-4352-002-TEACHING DIVERSE POPULATIONS,4.0625,4.25,4.1875,4.3125,3.6875
Derisavifard-Farid-MATH-1303-005-TRIGONOMETRY,3.4545,3.3636,3.2727,3.9091,3.4545
Deshpande-Aditi-BIOL-1441-051-CELL MOL BIOL,4,4.3333,3.8333,3.8333,4.5
Deshpande-Aditi-BIOL-1441-054-CELL MOL BIOL,3.3333,4,3.1667,3.1667,3.8333
Devarajan-Venkat-EE-3330-001-PROBABILITY AND RANDOM SIGNALS,4.8,3.8,3.6,4.6,4.8
Devarajan-Venkat-EE-4330-002-FNDMTLS TELECOMMUNICATION SYS,4.0952,4.3333,4.2857,4.4286,4
Devito-Jill-BIOL-1334-001-INTRODUCTION TO BIOLOGY II,4.7143,4.7857,4.7143,4.7143,4.8571
Devito-Jill-BIOL-1334-002-INTRODUCTION TO BIOLOGY II,4.8,4.8,4.8,4.6,4.4
Devito-Jill-BIOL-2343-002-EVOLUTION & ECOLOGY,4.5,4.6818,4.4545,4.4545,4.5
DeWitte-Debra-ART-1301-701-ART APPRECIATION,4.058,3.942,4.0145,4.3043,4.3088
DeWitte-Debra-ART1301.700 & ART 1301.900 ART APPRECIATION,3.9444,4,3.8333,4.2037,4.1111
Dhakal-Kamal-PHYS-1441-017-GENERAL COLLEGE PHYSICS I,3.8571,4.2857,3.7143,4.1429,4.2857
Dhakal-Kamal-PHYS-1443-009-GENERAL TECHNICAL PHYSICS I,4.5455,4.7273,4.1818,4.6364,4.3636
Dias-Rasika-CHEM-5315-001-INORGANIC CHEMISTRY,4.913,5,4.8261,4.7391,4.7727
Diaz-David-ART-3343-002-PRINTMAKING,4.5714,4.7143,4.5714,4.8571,4.8571
Diaz-Hildelisa-BEEP-4312-001-SCIENCE AND HEALTH EDUCATION I,4.4286,4.8571,4.8571,4.4286,5
Dickens-Angela-CHEM-1441-104-GENERAL CHEMISTRY I,4.2,4.6,4.2,4.4,4.3077
Dickens-Angela-CHEM-1441-111-GENERAL CHEMISTRY I,4.2,4.5,4.3,4.3,4.3
Dickens-Nicole-MAVS-1000-021-First Year Experience,4.2,4.6,4.2,4.6,4.4
Dickey-Robin-MAVS-1000-068-First Year Experience,4.9231,4.9231,4.9231,4.7692,4.9231
Dihigo-Sharolyn-NURS-5442-001-PRIMARY CARE PEDIATRIC NURSING,4.3636,4.6364,4.0909,4.6364,4.3636
Dihigo-Sharolyn-NURS-6320-002-LEADERSHIP IN HEALTH CARE,4.7,4.6,4.8,4.8,4.8
Dillard-Felicia-SPAN-1441-025-BEGINNING SPANISH I,4.4286,4.4286,4.4286,4.2857,4.4286
Dillard-Felicia-SPAN-1442-004-BEGINNING SPANISH II,4.4,4.6,4.6,4.2,3.8
Dillard-Felicia-SPAN-1442-006-BEGINNING SPANISH II,4.5,4.625,4.5,4.5,4.75
Dillard-Felicia-SPAN-1442-008-BEGINNING SPANISH II,4.6364,4.8182,4.7273,4.6364,4.7273
Dillard-Felicia-SPAN-2313-010-INTERMEDIATE SPANISH I,4.7143,4.7143,4.7143,4.7143,4.7143
Dillon-William-EE-2415-001-CIRCUIT ANALYSIS I,4.4545,4.4545,4.2727,4.4545,4.3636
Dillon-William-EE-2415-101-CIRCUIT ANALYSIS I,4.2,4.6,4.5,4.4,4.3
Diltz-John-FINA-5350-001-MATHEMATICAL FINANCE & FINA-6390-005-SEMINAR SPEC TOPICS IN FINANCE,4.6667,4.6667,4.5,4.6667,4.5
Ding-Chris-CSE-5311-003-DSGN & ANLY ALGORITHMS,3.6667,3.619,3.619,3.7619,3.8571
Ding-Chris-CSE-6339-001-SPEC TOPS ADV DATABASE SYS,3.3529,3.5294,3.2353,3.5882,3.0588
Dissanayake-Indika-BSTAT-3321-009-BUSINESS STATISTICS I,4.5238,4.5714,4.381,4.4286,4.5714
Dixon-Gary-ACCT-3315-004-PRINCIPLES OF FED INCOME TAX,4,4.1111,3.9,4.3,4.5
Dixon-Gary-ACCT-3315-005-PRINCIPLES OF FED INCOME TAX,4.3571,4.2857,4.2143,4.1429,4.5
Dockery-Bonita-SOCW-6319-001-SOCIAL POL AND MENTAL HEALTH,4.8125,4.75,4.625,4.5625,4.6875
Dockery-Bonita-SOCW-6326-002-DIRECT PRACT WITH CHILD & FAM,4.5833,4.4167,4.5833,4.5833,4.1667
Dockery-Bonita-SOCW-6343-006-INTIMATE PARTNER VIOLENCE,4.2308,4.3846,3.7692,4,4.0769
Dodd-Cameron-BIOL-1441-013-CELL MOL BIOL,3.1,3.4,3.4,3.6,3.6
Dodd-Cameron-BIOL-1441-015-CELL MOL BIOL,3.25,4.25,3.25,4,4.25
Dodd-Cameron-BIOL-1441-018-CELL MOL BIOL,3.8571,4.4286,3.8571,3.8571,4.5714
Dogan-Atilla-AE-5302-001/002-ADVANCED FLIGHT MECHANICS,3.6,4.2,4,4.2,4.6
Dogan-Atilla-AE-5378-001; CSE-4378-001; CSE-5383-001; EE-4378-001; EE-6321-001; IE-4378-001; IE-5378-001; MAE-4378-001; ME-5378-001-INTRO TO UNMANNED VEHICLE SYST,3.0645,3.4516,3.1333,3.2581,3.1935
Dolezal-Benjamin-ART-4356-001-PROFESSIONAL PREPARATION,4.4167,4.5,4.25,3.9167,3.9167
Dolezal-Benjamin-ART-4392-006-SPECIAL STUDIES,4.625,4.75,4.75,4.875,4.875
Dombrowsky-Thomas-FS-NURS-1300-018-INTRO TO PROFESSIONAL NURSING,4,3.8571,3.5,3.4286,4
Dombrowsky-Thomas-FS-NURS-1300-019-INTRO TO PROFESSIONAL NURSING,4.4167,4.5,3.8333,3.9167,4.4167
Dombrowsky-Thomas-FS-NURS-1300-021-INTRO TO PROFESSIONAL NURSING,3.9091,3.8182,3.6364,3.4,3.8182
Domingo-Pauline-FREN-1441-005-BEGINNING FRENCH I,4.1875,4.0625,4,4.3125,4.25
Domingo-Pauline-FREN-1441-006-BEGINNING FRENCH I,4.2857,4.2857,4.1429,4.2857,4.4286
Domingo-Pauline-FREN-2313-002-INTERMEDIATE FRENCH I,4.3,4.1,4.2,4.2,4.2
Domingo-Pauline-FREN-2313-022-INTERMEDIATE FRENCH I,4.8,4.7,4.7,4.7,4.7
Domingo-Pauline-FREN-2314-022-INTERMEDIATE FRENCH II,4.7273,4.6364,4.5455,4.7273,4.6364
Domingues-Susana-BIOL-1333-005-INTRO TO BIOLOGY I,4.5,4.3333,4.1667,4.3333,4.6667
Domingues-Susana-BIOL-1441-009-CELL MOL BIOL,4.75,4.875,4.75,4.875,4.875
Domingues-Susana-BIOL-1441-016-CELL MOL BIOL,3.5714,4,3.7143,3.4286,3.8571
Donaldson-Cheryl-ARCH-1101-001 & INTD-1101-001-ACADEMIC SUCCESS SKILLS,4.6111,4.4722,4.6111,4.5278,4.5556
Donaldson-Cheryl-ARCH-1101-002 & INTD-1101-002-ACADEMIC SUCCESS SKILLS,4.7647,4.7059,4.7353,4.6765,4.6176
Donaldson-Cheryl-MAVS-1000-027-First Year Experience,3.75,3.75,3.875,3.375,4.125
Dong-Yinlin-MATH-1325-001-ANALYTIC GEOMETRY,4.5294,4.7059,4,4.2353,4.5882
Dong-Yinlin-MATH-1325-002-ANALYTIC GEOMETRY,3.8846,4.3333,3.1852,3.88,4.2222
Donjuan-Carlos-ART-2371-001-PAINTING,5,4.6667,4.6667,5,5
Donjuan-Carlos-ART-3347-002-ADVANCED DRAWING,4.8333,5,5,5,5
Dougherty-Pamela-LIST-5317-005-LITERACY PRACTICUM II,4.4231,4.3846,4.24,4.5769,4.52
Dougherty-Pamela-LIST-5326-001-PRE-ADOL/ADOLESCENT LITERACY,4.6,4.7,4.3,4.4,4.6667
Dove-Carolyn-BLAW-3311-001-LAW I,4.5,4.5,4.2143,4.2308,4.1429
Dowdy-John-BLAW-3310-003-LEGAL/ETHICAL BUS ENVIRONMENT,4.3158,4.4474,4.2895,4.1622,3.8378
Dowdy-John-BLAW-3311-005-LAW I,4.3548,4.5806,3.9677,3.9355,3.6129
Dowdy-John-BLAW-3312-002-LAW II,4.5,4.6471,4.4118,4.2647,4.0882
Dragan-Irinel-MATH-3304-001-LINEAR OPTIMIZATION APPL & MATH-5362-001-MATH OF LINEAR PROGRAMMING,4.5,4.5,4.25,4.5,4.5
Drake-Michael-MUSI-1302-001-JAZZ APPRECIATION,4.5556,4.6667,4.7778,4.7778,4.7778
Drake-Michael-MUSIC PRIVATE LESSONS,5,5,5,5,5
Drescher-Kathy-NURS-5340-401-MANAGEMENT SEMINAR & PRACTICE,4.9231,5,4.9231,4.9231,4.9231
Driessen-Klaus-GERM-1441-003-GERMAN LEVEL I,4.7143,4.7143,4.7143,4.7143,4.5714
Driessen-Klaus-GERM-1441-004-GERMAN LEVEL I,5,5,5,4.6667,5
Driessen-Klaus-GERM-2313-001-INTERMEDIATE GERMAN I,4.5714,5,4.8571,4.8571,5
Drischler-Sara-MAVS-1000-059-First Year Experience,4.2857,4.7143,4.5714,4.5714,4.8333
Du-Siqi-CHEM-1451-102-CHEMISTRY FOR HEALTH SCIENCES,3.5263,4.0526,3.1579,3.6111,4.4737
Du-Siqi-CHEM-1451-104-CHEMISTRY FOR HEALTH SCIENCES,3.6,4.1,3.2105,3.95,4.1
Duffield-Rebecca-CRCJ-3385-001 & WOMS-3385-001-WOMEN AND CRIME,3.6316,3.5263,3.4737,3.3684,3.6316
Dulaney-William-HIST-3365-001 & AAST-3365-001-AFR AMER HIST 1865,4.4545,4.4545,4.4545,4.4,4.3636
Dulock-Caleb-ART-1305-004-TWO-DIMENSIONAL DESIGN,4.5,4,5,5,4
Dulock-Caleb-ART-2304-001-DIGITAL DESIGN,5,5,5,5,5
Dulock-Caleb-ART-2304-002-DIGITAL DESIGN,4.8333,4.6667,4.6667,4.8333,4.6667
Duncan-Mari-MAVS-1000-076-First Year Experience,4.6,4.9,4.8,4.8,4.9
Durham-Holly-MAVS-1000-050-First Year Experience,4.75,4.75,4.75,4.75,4.75
Duvall-David-MAVS-1000-018-First Year Experience,4.2222,4.4444,4.3333,4.3333,4.3333
Eades-Tamara-NURS-3335-502-RN-BSN HEALTH PROMOTION,4.1831,4.1014,4.0423,4.1429,4.0141
Eades-Tamara-NURS-3645-201-RN-BSN PROFESSIONAL NURSING,5,5,5,5,5
Eades-Tamara-NURS-3645-505-RN-BSN PROFESSIONAL NURSING,4.5,4.4516,4.4375,4.4063,4.25
Eades-Tamara-NURS-4585-201-RN-BSN CAPSTONE,5,5,5,5,5
Eades-Tamara-NURS-4585-503-RN-BSN CAPSTONE,4.4688,4.375,4.1563,4.5,4.4194
Eakin-Mark-BSTAT-3321-003-BUSINESS STATISTICS I,4.1818,4.4091,3.5455,4.0909,4.4545
Eakin-Mark-BSTAT-5325-001-ADVANCED STATISTICAL METHODS,4.4595,4.7297,4.2162,4.5135,4.7297
Eakin-Mark-BSTAT-5325-002-ADVANCED STATISTICAL METHODS,4.4,4.7,4,4.6316,4.7368
Earle-Brian-EDUC-5305-205-CUR DESGN IMPLMNTATION & EVAL,3,3,3.75,3.5,4
Eddings-Patricia-CRCJ-3370-001-FORENSICS,4.65,4.65,4.65,4.55,4.75
Eddings-Patricia-CRCJ-4341-001-FORENSIC IMPRESSION EVID,4.7143,4.5714,4.8571,4.8571,4.8571
Eddings-Patricia-CRCJ-4342-001-FORENSIC HAIR FIBER,4.625,4.5,4.75,4.75,4.875
Eddings-Patricia-CRCJ-4342-002-FORENSIC HAIR FIBER,4.7143,4.7143,4.8571,4.7143,4.7143
Edwards-Kenneth-MUSI-0116-001 & MUSI-5108-001-JAZZ ENSEMBLE,4.6667,4.5556,4.6667,4.7778,4.6667
Edwards-Kenneth-MUSIC PRIVATE LESSONS,5,5,5,5,5
Eggleston-Perry-MAVS-1000-030-First Year Experience,4.1667,4.0588,4.0556,4.2222,4.3889
Elerson-Crystal-ENGL-2303-011-TOPICS IN LIT,3.1818,3.2727,3.0909,4.3636,3.8182
Elerson-Crystal-ENGL-2303-012-TOPICS IN LIT,3.3077,3.1538,3.3077,3.8462,3.6923
Elerson-Crystal-ENGL-2338-018-TECHNICAL WRITING,4.25,4.25,3.75,3.75,4.25
Elerson-Crystal-ENGL-3373-001-TECHNICAL COMMUNICATION,4.5,4,4.8333,4.8333,4.8333
Elerson-Crystal-ENGL-3374-001-RHET & MULTIMEDIA AUTHORING I,2.6667,2.5556,2.7778,3.3333,3
Elerson-Crystal-ENGL-4390-001-INTERNSHIP IN ENGLISH,5,5,5,5,5
Ellington-Patricia-MATH 1302.500 & MATH 1302.900 COLLEGE ALGEBRA,3.8182,3.8182,3.8182,3.9091,3.7273
Ellington-Patricia-MATH-1302-088-COLLEGE ALGEBRA,3.8913,3.8478,3.6522,3.7174,4.0222
Ellington-Patricia-MATH-1302-501-MATH-1302-901-COLLEGE ALGEBRA,3.9167,3.6667,3.5833,3.75,3.75
Elliott-Elise-ENGL-1301-034-RHETORIC AND COMPOSITION I,4.6667,4.6667,4.6667,4.5,4.3333
Elliott-Judi-BIOL-2458-010-HUMAN ANATOMY & PHYSIOLOGY II,4.4545,4,4.3636,4.4545,4.7273
Elliott-Judi-BIOL-3149-017-COOPERATIVE PROGRAM IN BIOLOGY,3.3333,3.3333,3.3333,3.5,3.3333
Elliott-Judi-BIOL-3249-017-COOPERATIVE PROGRAM IN BIOLOGY,4.25,3.75,3.75,3.75,3.75
Elliott-Judi-BIOL-3349-001-COOPERATIVE PROGRAM IN BIOLOGY,4.3333,4.3333,4.3333,4.3333,4.3333
Elliott-Judi-BIOL-3446-001-HUMAN ANATOMY,2.0909,2.9091,2.0909,3,3.0952
Elliott-Judi-BIOL-3446-004-HUMAN ANATOMY,2.1538,2.0769,2,2.6154,2.4615
Elliston-Ellen-SOCW-6325-012/013-ADVANCED MICRO PRACTICE,4,4.2727,3.9091,4.3636,4.0909
Elmasri-Ramez-CSE-6331-001-ADV TOPICS IN DATABASE SYSTEMS,4.5714,4.7143,4.4286,4.7143,4.7143
Elrod-Gene-ACCT-2301-010-PRINCIPLES OF ACCOUNTING I,4.5,4.5,4.3333,4.6667,4.5
Elrod-Gene-ACCT-2302-007-PRINCIPLES OF ACCOUNTING II,4.1,4.2,3.8,3.8,3.9
Elrod-Gene-ACCT-3309-006-ACCOUNTING FOR MANAGERS,4.3478,4.4783,4.2609,4.3913,4.4286
Elrod-Gene-ACCT-3309-007-ACCOUNTING FOR MANAGERS,4.5,4.5,4.6429,4.5714,4.5714
Emmons-Laura-SPAN-1441-001-BEGINNING SPANISH I,4.8889,4.8889,4.6667,4.6667,4.7778
Emmons-Laura-SPAN-1442-003-BEGINNING SPANISH II,4.7692,4.8462,4.6154,4.6923,4.8462
Emmons-Laura-SPAN-1442-005-BEGINNING SPANISH II,4.7273,4.6364,4.7273,4.4545,4.7273
England-Nancy-ENGL-2309-005-WORLD LIT,4.6,4.4,4.4667,4.4667,4.6
England-Nancy-ENGL-2309-006-WORLD LIT,4.6923,4.6923,4.7692,4.6154,4.9231
England-Nancy-ENGL-2309-010-WORLD LIT,4.75,4.6875,4.6875,4.4375,4.75
England-Nancy-ENGL-2319-001-BRITISH LITERATURE,4.5,4.75,4.625,4.5,4.625
England-Nancy-ENGL-2319-002-BRITISH LITERATURE,3.4286,3.4286,3.4286,3.1429,3.5714
Engle-Nancy-NURS-5327-004-EXPLOR SCI & THEORIES-NURSING,4.0909,4.0909,4,4.2727,4.0909
Engle-Nancy-NURS-5328-005-THEORY & RSRCH APPL IN NURSING,4,3.875,2.625,4.25,3
Engle-Nancy-NURS-5328-007-THEORY & RSRCH APPL IN NURSING,4,4.375,3.5,4.125,4.125
Epperson-James-MATH-2425-300-CALCULUS II,4.35,4.5122,4.25,4.1951,4.5122
Eppich-Keith-ANTH-2359-001-ARCH OF MYTHS,5,4.75,4.75,4.75,5
Esimai-Grace-BSTAT-3321-001-BUSINESS STATISTICS I,3.6364,4.1818,3,3.8,3.6364
Esimai-Grace-BSTAT-3321-002-BUSINESS STATISTICS I,3.8824,4.2941,3.2941,4.0588,4.2941
Esimai-Grace-BSTAT-3321-004-BUSINESS STATISTICS I,3.8077,4.2692,3.2692,4.0385,3.6154
Esimai-Grace-BSTAT-3322-001-BUSINESS STATISTICS II,3.7059,3.7647,3.3529,3.8824,3.8235
Eslamieh-Mohammadmehdi-BIOL-1441-010-CELL MOL BIOL,3.8,4.1,3.4,4.1,4.6
Eslamieh-Mohammadmehdi-BIOL-1441-036-CELL MOL BIOL,4.5,4.5,4.1667,4.1667,4.6667
Espinosa-Sergio-MAVS-1000-049-First Year Experience,3.1111,3.1111,3.2222,2.7778,3.6667
Espinosa-Sergio-MUSI-1300-001-MUSIC APPRECIATION,4.4321,4.5185,4.4444,4.2346,4.3875
Espinosa-Sergio-MUSI-1300-002-MUSIC APPRECIATION,4.3605,4.4186,4.3412,4.0698,4.3176
Espinosa-Sergio-MUSI-1300-003-MUSIC APPRECIATION,4.1486,4.2703,4.1644,4.0135,4.3378
Esposito-Carl-COMM-1300-001-INTRO TO COMMUNICATION,4.3,4.5,4.1,4.2,4.3
Estes-Yvonne-BEEP-3381-001-LANG MINORITY STUDENTS,3.55,3.75,3.45,4.15,4.1
Evans-Clifton-MUSI-0128-001 & MUSI-5111-001-ORCHESTRA,4.9429,5,4.9714,4.9429,4.8571
Evans-Clifton-MUSI-3308-002-INSTRUMENTAL CONDUCTING I,4.4706,4.4706,4.4706,4.4118,4.2941
Evans-Steven-CRCJ-4380-001-COMPAR CRIMINAL JUSTICE SYSTEM,4.5714,4.7143,4.5714,4.6429,4.6429
Eve-Raymond-SOCI 1311.700 & SOCI 1311.900 INTRODUCTION TO SOCIOLOGY,4.6,4.5172,4.3793,4.4667,4.3214
Eve-Raymond-SOCI-1311-701-SOCI-1311-901-INTRO TO SOCIO,4.3333,4.3158,4.2632,4.1795,4.1795
Eversole-Nathaniel-LING-2371-003-LANGUAGE IN MULTICULTURAL USA,4.8571,4.5714,4.8571,4.4286,4.7143
Ewing-Beverly-NURS-5334-400-ADVANCED PHARMACOLOGY FOR ANP,4.4286,3.8571,3.9524,4.4286,4.3333
Ewing-Beverly-NURS-5631-004-ADV CLINICAL NURSING PRACTICUM,4,4,3.6667,4.3333,2.6667
Ezell-Angela-MAVS-1000-004-First Year Experience,3.8571,3.7143,3.7143,4.1429,4
Fain-John-LARC-5341-001-LANDSCAPE TECHNOLOGY I,4.625,4.625,4.5,4.75,4.875
Fairbanks-Robert-HIST-1312-006-U.S. HISTORY SINCE 1865,4.5,4.5,4.3125,4.5625,4.375
Fairbanks-Robert-HIST-3351-001-DFW METROPLEX,4.0769,3.7692,4.0769,4.1538,4.2308
Fairchild-Michael-CE-5300-004/005-TOPICS IN CIVIL ENGINEERING,4.5,4.4444,4.3333,4.3889,4.3333
Fan-Majie-GEOL-5371-001-BASIN ANALYSIS,3.9375,4.25,3.625,4.3125,4.375
Fang-Zheng-CE-4326-002 & CE-5349-003-ADV GIS/HYDO & HYDR MODELING,4.7273,4.6364,4.6364,4.7273,4.6364
Fantroy-Lonita-MAVS-1000-064-First Year Experience,3.75,3.625,3.25,3.375,3.625
Farbin-Amir-PHYS-5326-001-INTRO TO ELMENTRY PARTICLES II,2.6667,3.6667,2.6667,3.6667,3.6667
Farmer-James-URPA-5305-002-THEORY URB SOC,4.2,4.6,4.6,5,5
Farrell-Sean-ENGL-1301-045-RHETORIC AND COMPOSITION I,4.7273,4.8182,4.6364,4.6364,4.8182
Farrell-Sean-ENGL-1301-049-RHETORIC AND COMPOSITION I,4.8182,4.7273,4.6364,4.7273,4.6364
Fauntleroy-Megan-MAVS-1000-032-First Year Experience,3.5714,3.8571,3.7143,3.7143,3.7143
Fegaras-Leonidas-CSE-5194-001-ORIENTATION SEMINAR,3.9609,3.9274,3.8715,3.7989,3.8045
Fegaras-Leonidas-CSE-5335-001-WEB DATA MANAGEMENT & XML,3.8696,3.8261,3.5217,4.0435,3.8636
Feigel-Gregory-FINA-3315-002-INVESTMENTS,3.1176,3.6471,2.9412,3.3529,3
Feigel-Gregory-FINA-3317-002-FINANCIAL INSTIT & MARKETS,3.5,4.1429,3.2143,3.8571,3.7143
Feigel-Gregory-FINA-4318-001-PORTFOLIO MGMT & SEC ANALYSIS,2.9333,3.1333,2,3.4,2.9333
Felderhoff-Brandi-SOCW-6318-002-DIRECT PRACTICE WITH AGING,3.8,4.1333,3.6,4.0667,3.8
Ferguson-Demarice-MAVS-1000-077-First Year Experience,4.7143,4.7143,4.5714,4.5714,4.7143
Fernandes-Jean-ART-3340-001-KILN FORMED GLASS,4.1429,4.4286,4.2857,4.4286,4.1429
Fernandez-Raul-MAE-1351-001-ENGR GRAPH & INDUST PRACTICES,4.0577,3.9231,3.8269,3.9038,3.6346
Fernandez-Raul-MAE-1351-002-ENGR GRAPH & INDUST PRACTICES,4.0682,4.1364,3.8636,3.9091,3.6136
Fernandez-Raul-MAE-1351-003-ENGR GRAPH & INDUST PRACTICES,4.3043,4.3043,4.1739,4.2667,3.8478
Fernandez-Raul-MAE-1351-004-ENGR GRAPH & INDUST PRACTICES,3.7143,3.8095,3.6667,3.7619,3.4762
Fernandez-Raul-MAE-1351-005-ENGR GRAPH & INDUST PRACTICES,4.381,4.4286,4.1905,4.4286,4.0476
Fernandez-Raul-MAE-1351-006-ENGR GRAPH & INDUST PRACTICES,4.1053,4.0526,4,3.9474,3.7895
Fernandez-Raul-MAE-1351-007-ENGR GRAPH & INDUST PRACTICES,4.0909,4.2727,4.2273,4.1818,4.2857
Fernandez-Raul-MAE-1351-008-ENGR GRAPH & INDUST PRACTICES,3.5714,3.381,3.4286,3.4762,3.1905
Fernandez-Raul-MAE-4287-001-DESIGN PROJECT I,4.6667,4.7333,4.6667,4.6,4.2667
Fernandez-Raul-MAE-4287-002-DESIGN PROJECT I,4.3333,4.5556,4.5556,4.4444,4.3333
